#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.40995  0.36866 -0.04510      NaN  0.000000  0.000000  0.000000       NaN
   1.43545  0.39416 -0.04512      NaN  0.000000  0.000000  0.000000       NaN
   1.46125  0.41996 -0.04492      NaN  0.000000  0.000000  0.000000       NaN
   1.48727  0.44598 -0.04452      NaN  0.000000  0.000000  0.000000       NaN
   1.51346  0.47216 -0.04392      NaN  0.000000  0.000000  0.000000       NaN
   1.53972  0.49841 -0.04315      NaN  0.000000  0.000000  0.000000       NaN
   1.56600  0.52467 -0.04220      NaN  0.000000  0.000000  0.000000       NaN
   1.59220  0.55085 -0.04110      NaN  0.000000  0.000000  0.000000       NaN
   1.61828  0.57690 -0.03986      NaN  0.000000  0.000000  0.000000       NaN
   1.64416  0.60274 -0.03849      NaN  0.000000  0.000000  0.000000       NaN
   1.66975  0.62829 -0.03700      NaN  0.000000  0.000000  0.000000       NaN
   1.69500  0.65349 -0.03541      NaN  0.000000  0.000000  0.000000       NaN
   1.71983  0.67826 -0.03373      NaN  0.000000  0.000000  0.000000       NaN
   1.74417  0.70254 -0.03197      NaN  0.000000  0.000000  0.000000       NaN
   1.76796  0.72626 -0.03015      NaN  0.000000  0.000000  0.000000       NaN
   1.79113  0.74935 -0.02827      NaN  0.000000  0.000000  0.000000       NaN
   1.81361  0.77175 -0.02636      NaN  0.000000  0.000000  0.000000       NaN
   1.83534  0.79340 -0.02443      NaN  0.000000  0.000000  0.000000       NaN
   1.85627  0.81424 -0.02248      NaN  0.000000  0.000000  0.000000       NaN
   1.87634  0.83421 -0.02054      NaN  0.000000  0.000000  0.000000       NaN
   1.89547  0.85325 -0.01862      NaN  0.000000  0.000000  0.000000       NaN
   1.91365  0.87133 -0.01673      NaN  0.000000  0.000000  0.000000       NaN
   1.93079  0.88837 -0.01489      NaN  0.000000  0.000000  0.000000       NaN
   1.94687  0.90435 -0.01311      NaN  0.000000  0.000000  0.000000       NaN
   1.96183  0.91921 -0.01140      NaN  0.000000  0.000000  0.000000       NaN
   1.97562  0.93291 -0.00978      NaN  0.000000  0.000000  0.000000       NaN
   1.98823  0.94543 -0.00827      NaN  0.000000  0.000000  0.000000       NaN
   1.99960  0.95671 -0.00688      NaN  0.000000  0.000000  0.000000       NaN
   2.00972  0.96675 -0.00562      NaN  0.000000  0.000000  0.000000       NaN
   2.01854  0.97550 -0.00450      NaN  0.000000  0.000000  0.000000       NaN
   2.02604  0.98294 -0.00353      NaN  0.000000  0.000000  0.000000       NaN
   2.03222  0.98906 -0.00272      NaN  0.000000  0.000000  0.000000       NaN
   2.03703  0.99383 -0.00209      NaN  0.000000  0.000000  0.000000       NaN
   2.04048  0.99725 -0.00163      NaN  0.000000  0.000000  0.000000       NaN
   2.04256  0.99931 -0.00135      NaN  0.000000  0.000000  0.000000       NaN
   2.04324  0.99999 -0.00126      NaN  0.000000  0.000000  0.000000       NaN
   2.04324  1.00010 -0.00000      NaN       NaN       NaN  0.000000       NaN
   2.04394      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.04498      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.04656      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.04895      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.05256      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.05801      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.06625      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.07871      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.09753      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.12598      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.16898      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.23397      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.33219      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.48062      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   2.70496      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
   3.04402      NaN      NaN      NaN       NaN       NaN  0.000000       NaN
